February 26th,,,,,
HOME TEAM,SCORE,,SCORE,AWAY TEAM,KICK OFF
Bambinos FC,4,V,1,WSPA,12.00 noon
Rehab Athletic,P,V,P,AGE UK WANDERERS,12.40pm
DYNAMO GUARDIAN,0,V,3,Two Birds FC,1.20pm
,,,,,
March 5th,,,,,
HOME TEAM,SCORE,,SCORE,AWAY TEAM,KICK OFF
WSPA,11,V,2,Two Birds FC,12.00 noon
Bambinos FC,2,V,3,Rehab Athletic,12.40pm
AGE UK WANDERERS,1,V,7,DYNAMO GUARDIAN,1.20pm
,,,,,
March 12th,,,,,
HOME TEAM,SCORE,,SCORE,AWAY TEAM,KICK OFF
Two Birds FC,6,V,0,AGE UK WANDERERS,12.00 noon
Rehab Athletic,0,V,3,WSPA,12.40pm
DYNAMO GUARDIAN,4,V,5,Bambinos FC,1.20pm
,,,,,
March19th,,,,,
HOME TEAM,SCORE,,SCORE,AWAY TEAM,KICK OFF
Bambinos FC,1,V,3,Two Birds FC,12.00 noon
Rehab Athletic,2,V,7,DYNAMO GUARDIAN,12.40pm
WSPA,1,V,7,AGE UK WANDERERS,1.20pm
,,,,,
March 26th ,,,,,
HOME TEAM,SCORE,,SCORE,AWAY TEAM,KICK OFF
WSPA,5,V,5,Bambinos FC,12.00 noon
AGE UK WANDERERS,3,V,3,Rehab Athletic,12.40pm
Two Birds FC,2,V,5,DYNAMO GUARDIAN,1.20pm
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
April 9th,,,,,
HOME TEAM,SCORE,,SCORE,AWAY TEAM,KICK OFF
WSPA,7,V,8,DYNAMO GUARDIAN,12.00 noon
Rehab Athletic,P,V,P,Two Birds FC,12.40pm
Bambinos FC,6,V,3,AGE UK WANDERERS,1.20pm
,,,,,
April  16th,,,,,
HOME TEAM,SCORE,,SCORE,AWAY TEAM,KICK OFF
Two Birds FC,6,V,4,Bambinos FC,12.00 noon
DYNAMO GUARDIAN,3,V,5,Rehab Athletic,12.40pm
AGE UK WANDERERS,4,V,8,WSPA,1.20pm
,,,,,
April 23rd,,,,,
HOME TEAM,SCORE,,SCORE,AWAY TEAM,KICK OFF
Bambinos FC,3,V,0,DYNAMO GUARDIAN,12.00 noon
WSPA,7,V,5,Rehab Athletic,12.40pm
AGE UK WANDERERS,2,V,1,Two Birds FC,1.20pm
,,,,,
April 30th,,,,,
HOME TEAM,SCORE,,SCORE,AWAY TEAM,KICK OFF
DYNAMO GUARDIAN,6,V,3,AGE UK WANDERERS,12.00 noon
Rehab Athletic,6,V,2,Bambinos FC,12.40pm
Two Birds FC,4,V,5,WSPA,1.20pm
,,,,,
May 7th,,,,,
HOME TEAM,SCORE,,SCORE,AWAY TEAM,KICK OFF
DYNAMO GUARDIAN,,V,,WSPA,12.00 noon
Two Birds FC,,V,,Rehab Athletic,12.40pm
AGE UK WANDERERS,,V,,Bambinos FCFC,1.20pm
,,,,,
,,,,,
,,,,,
May 14th,,,,,
HOME TEAM,SCORE,,SCORE,AWAY TEAM,KICK OFF
Rehab Athletic,,V,,AGE UK WANDERERS ,12.00 noon
Rehab  Athletic,,V,,Two Birds,12.40pm
,,V,,,1.20pm
,,,,,
